#time redshift x  y z
4.4781 1.4436 29018.6782 28619.1343 29602.9755 
4.4835 1.4415 29042.5112 28642.5162 29628.2373 
4.4888 1.4394 29066.3596 28665.8921 29653.4950 
4.4942 1.4374 29090.1969 28689.2668 29678.7407 
4.4996 1.4353 29114.0593 28712.6406 29704.0089 
4.5050 1.4333 29137.9378 28736.0049 29729.2751 
4.5104 1.4312 29161.8138 28759.3558 29754.5412 
4.5157 1.4292 29185.6803 28782.7038 29779.7987 
4.5211 1.4272 29209.5614 28806.0487 29805.0551 
4.5265 1.4252 29233.4340 28829.3894 29830.3134 
4.5319 1.4231 29257.2916 28852.7127 29855.5830 
4.5373 1.4211 29281.1742 28876.0377 29880.8371 
4.5426 1.4191 29305.0607 28899.3583 29906.0946 
4.5480 1.4171 29328.9514 28922.6717 29931.3479 
4.5534 1.4151 29352.8411 28945.9694 29956.6076 
4.5588 1.4131 29376.7210 28969.2576 29981.8551 
4.5642 1.4111 29400.6027 28992.5522 30007.1153 
4.5695 1.4091 29424.5111 29015.8382 30032.3585 
4.5749 1.4071 29448.4037 29039.1210 30057.5844 
4.5803 1.4051 29472.2956 29062.3852 30082.8411 
4.5857 1.4031 29496.1788 29085.6289 30108.0827 
4.5911 1.4011 29520.0766 29108.8712 30133.3285 
4.5964 1.3991 29543.9346 29132.1077 30158.5196 
4.6018 1.3971 29567.6199 29155.2487 30183.5894 
4.6072 1.3952 29592.2694 29178.8259 30209.6897 
4.6126 1.3932 29616.1255 29202.0221 30234.9527 
4.6180 1.3912 29640.0333 29225.2346 30260.2045 
4.6234 1.3893 29663.9453 29248.4271 30285.4778 
4.6287 1.3873 29687.8376 29271.6095 30310.7535 
4.6341 1.3854 29711.7707 29294.8013 30336.0520 
4.6395 1.3834 29735.6941 29317.9948 30361.3311 
4.6449 1.3815 29759.5965 29341.1928 30386.6176 
4.6503 1.3795 29783.5017 29364.3841 30411.9037 
4.6556 1.3776 29807.4372 29387.5632 30437.1937 
4.6610 1.3756 29831.3718 29410.7630 30462.4589 
4.6664 1.3737 29855.2976 29433.9346 30487.7367 
4.6718 1.3718 29879.2201 29457.1184 30513.0323 
4.6772 1.3699 29903.1521 29480.2844 30538.3288 
4.6825 1.3679 29927.0934 29503.4582 30563.6247 
4.6879 1.3660 29951.0352 29526.6139 30588.9074 
4.6933 1.3641 29974.9541 29549.7585 30614.1536 
4.6987 1.3622 29998.8821 29572.9014 30639.4309 
4.7041 1.3603 30022.7551 29596.0269 30664.6639 
4.7094 1.3584 30046.6563 29619.1249 30689.9158 
4.7148 1.3565 30070.5571 29642.2543 30715.1495 
4.7202 1.3546 30094.4215 29665.3520 30740.3727 
4.7256 1.3527 30119.0391 29688.7226 30766.2882 
4.7310 1.3508 30142.9015 29711.7792 30791.4674 
4.7363 1.3489 30166.8166 29734.8445 30816.7325 
4.7417 1.3470 30190.7585 29757.9336 30841.9616 
4.7471 1.3451 30214.7326 29781.0409 30867.2318 
4.7525 1.3433 30238.6989 29804.1383 30892.5005 
4.7579 1.3414 30262.6591 29827.2153 30917.7608 
4.7632 1.3395 30286.6388 29850.3008 30943.0196 
4.7686 1.3376 30310.6134 29873.3612 30968.2904 
4.7740 1.3358 30334.5929 29896.4367 30993.5906 
4.7794 1.3339 30358.5737 29919.5040 31018.8723 
4.7848 1.3321 30382.5727 29942.5728 31044.1581 
4.7902 1.3302 30406.5669 29965.6095 31069.4233 
4.7955 1.3284 30430.5693 29988.6455 31094.7021 
4.8009 1.3265 30454.5618 30011.6817 31119.9619 
4.8063 1.3247 30478.5553 30034.7182 31145.2178 
4.8117 1.3228 30502.5497 30057.7404 31170.4990 
4.8171 1.3210 30526.5326 30080.7631 31195.7554 
4.8224 1.3192 30550.4741 30103.7516 31220.9703 
4.8278 1.3173 30575.0582 30126.9319 31246.8332 
4.8332 1.3155 30598.9961 30149.8949 31272.0000 
4.8386 1.3137 30622.9883 30172.8828 31297.2415 
4.8440 1.3119 30646.9978 30195.8660 31322.5115 
4.8493 1.3100 30671.0299 30218.8569 31347.7728 
4.8547 1.3082 30695.0628 30241.8456 31373.0383 
4.8601 1.3064 30719.0944 30264.8337 31398.3089 
4.8655 1.3046 30743.1329 30287.8114 31423.5757 
4.8709 1.3028 30767.1784 30310.7908 31448.8490 
4.8762 1.3010 30791.2304 30333.7782 31474.1029 
4.8816 1.2992 30815.2891 30356.7528 31499.3726 
4.8870 1.2974 30839.3444 30379.7259 31524.6583 
4.8924 1.2956 30863.4006 30402.6830 31549.9356 
4.8978 1.2938 30887.4504 30425.6405 31575.1875 
4.9031 1.2920 30911.5042 30448.5824 31600.4467 
4.9085 1.2903 30935.5370 30471.4968 31625.7003 
4.9139 1.2885 30959.5033 30494.3458 31650.8469 
4.9193 1.2867 30984.1678 30517.5284 31676.7360 
4.9247 1.2849 31008.2663 30540.4126 31702.0074 
4.9300 1.2832 31032.3800 30563.3305 31727.2713 
4.9354 1.2814 31056.5177 30586.2414 31752.5732 
4.9408 1.2796 31080.6477 30609.1669 31777.8804 
4.9462 1.2779 31104.7879 30632.0938 31803.1917 
4.9516 1.2761 31128.9414 30655.0027 31828.5116 
4.9569 1.2743 31153.1101 30677.8951 31853.8139 
4.9623 1.2726 31177.2723 30700.7866 31879.1354 
4.9677 1.2708 31201.4298 30723.6923 31904.4490 
4.9731 1.2691 31225.5842 30746.5860 31929.7595 
4.9785 1.2674 31249.7167 30769.4579 31955.0221 
4.9839 1.2656 31273.8251 30792.2782 31980.2912 
4.9892 1.2639 31298.6068 30815.4502 32006.1706 
4.9946 1.2621 31322.6546 30838.2245 32031.3456 
5.0000 1.2604 31346.8331 30861.0469 32056.5986 
5.0054 1.2587 31371.0402 30883.9022 32081.9192 
5.0108 1.2570 31395.2835 30906.7592 32107.2683 
5.0161 1.2552 31419.5137 30929.6188 32132.6004 
5.0215 1.2535 31443.7852 30952.4830 32157.9318 
5.0269 1.2518 31468.0583 30975.3452 32183.2646 
5.0323 1.2501 31492.3163 30998.1946 32208.5886 
5.0377 1.2484 31516.6095 31021.0226 32233.9332 
5.0430 1.2467 31540.8834 31043.8068 32259.2611 
5.0484 1.2450 31565.1243 31066.5697 32284.5418 
5.0538 1.2433 31590.0457 31089.6661 32310.3516 
5.0592 1.2416 31614.2770 31112.4438 32335.5830 
5.0646 1.2399 31638.5873 31135.2329 32360.8974 
5.0699 1.2382 31662.9674 31158.0569 32386.2427 
5.0753 1.2365 31687.3610 31180.8801 32411.5969 
5.0807 1.2348 31711.7802 31203.7086 32436.9277 
5.0861 1.2331 31736.2068 31226.5320 32462.2691 
5.0915 1.2314 31760.6736 31249.3346 32487.6318 
5.0968 1.2297 31785.1392 31272.1345 32512.9629 
5.1022 1.2281 31809.6178 31294.9019 32538.2754 
5.1076 1.2264 31834.8137 31317.9275 32564.0480 
5.1130 1.2247 31859.2646 31340.6672 32589.2910 
5.1184 1.2231 31883.8299 31363.4606 32614.6449 
5.1237 1.2214 31908.4654 31386.2369 32640.0343 
5.1291 1.2197 31933.1264 31409.0292 32665.4164 
5.1345 1.2181 31957.8357 31431.8131 32690.7839 
5.1399 1.2164 31982.6022 31454.5929 32716.1617 
5.1453 1.2148 32007.3896 31477.3640 32741.5112 
5.1506 1.2131 32033.3446 31500.4329 32767.3903 
5.1560 1.2115 32057.7634 31523.1079 32792.5291 
5.1614 1.2098 32082.7273 31545.8917 32817.8664 
5.1668 1.2082 32107.8034 31568.7006 32843.1825 
5.1722 1.2065 32133.0065 31591.5151 32868.4679 
5.1776 1.2049 32158.3093 31614.3193 32893.6694 
5.1829 1.2032 32183.6797 31637.0921 32918.7426 
5.1883 1.2016 32210.1169 31660.1371 32943.6704 
5.1937 1.2000 32235.4640 31682.8624 32968.3126 
5.1991 1.1984 32260.9124 31705.6409 32992.7302 
5.2045 1.1967 32286.2864 31728.4393 33016.9475 
5.2098 1.1951 32311.4875 31751.2350 33041.0380 
5.2152 1.1935 32336.5810 31774.0496 33065.0512 
5.2206 1.1919 32361.5331 31796.8641 33089.0235 
5.2260 1.1903 32386.3899 31819.6722 33112.9563 
5.2314 1.1886 32411.1279 31842.4604 33136.8377 
5.2367 1.1870 32435.7672 31865.2566 33160.7278 
5.2421 1.1854 32460.2898 31888.0245 33184.6065 
5.2475 1.1838 32484.7452 31910.7561 33208.4728 
5.2529 1.1822 32509.1491 31933.4981 33232.3633 
5.2583 1.1806 32533.4867 31956.2354 33256.2506 
5.2636 1.1790 32557.7471 31978.9548 33280.1580 
5.2690 1.1774 32581.9740 32001.6756 33304.0681 
5.2744 1.1758 32606.1572 32024.3810 33327.9963 
5.2798 1.1743 32630.2947 32047.0734 33351.9411 
5.2852 1.1727 32654.3973 32069.7813 33375.8581 
5.2905 1.1711 32678.4592 32092.4811 33399.8143 
5.2959 1.1695 32702.4806 32115.1647 33423.7954 
5.3013 1.1679 32726.4554 32137.8554 33447.7450 
5.3067 1.1664 32750.4495 32160.5369 33471.7284 
5.3121 1.1648 32774.3413 32183.2117 33495.7314 
5.3174 1.1632 32798.2203 32205.8821 33519.7325 
5.3228 1.1616 32822.1069 32228.5589 33543.6997 
5.3282 1.1601 32845.9519 32251.2232 33567.6957 
5.3336 1.1585 32869.6863 32273.9088 33591.7426 
5.3390 1.1570 32893.4198 32296.5672 33615.7758 
5.3444 1.1554 32917.2012 32319.2417 33639.8045 
5.3497 1.1538 32940.9692 32341.8801 33663.8237 
5.3551 1.1523 32964.7011 32364.5503 33687.8290 
5.3605 1.1507 32988.4344 32387.1885 33711.8477 
5.3659 1.1492 33012.1101 32409.8316 33735.8784 
5.3713 1.1476 33035.7103 32432.4883 33759.9536 
5.3766 1.1461 33059.3462 32455.1227 33784.0078 
5.3820 1.1446 33082.9615 32477.7211 33808.0565 
5.3874 1.1430 33106.4989 32500.3129 33832.1614 
