#time redshift x  y z
4.4781 1.4436 29047.1094 28616.7981 29638.7602 
4.4835 1.4415 29071.2376 28640.0490 29663.9023 
4.4888 1.4394 29095.5045 28663.1663 29689.0723 
4.4942 1.4374 29119.8047 28686.1986 29714.0581 
4.4996 1.4353 29143.8906 28709.1202 29738.6190 
4.5050 1.4333 29169.2545 28734.3847 29766.0654 
4.5104 1.4312 29193.1386 28757.5151 29790.9530 
4.5157 1.4292 29217.2214 28780.5877 29816.0240 
4.5211 1.4272 29241.3448 28803.7567 29841.1568 
4.5265 1.4252 29265.4024 28826.9150 29866.2605 
4.5319 1.4231 29289.4901 28849.9561 29891.1256 
4.5373 1.4211 29313.3871 28872.9113 29915.8828 
4.5426 1.4191 29339.1633 28897.8799 29943.3347 
4.5480 1.4171 29363.0247 28920.9163 29968.2430 
4.5534 1.4151 29387.0209 28943.9824 29993.4646 
4.5588 1.4131 29410.9839 28967.1255 30018.6383 
4.5642 1.4111 29435.1336 28990.2471 30043.5083 
4.5695 1.4091 29459.2004 29013.1858 30068.4325 
4.5749 1.4071 29483.1179 29035.9806 30093.1431 
4.5803 1.4051 29508.5297 29061.0076 30120.4338 
4.5857 1.4031 29532.4951 29084.0858 30145.3742 
4.5911 1.4011 29556.4106 29107.1198 30170.1768 
4.5964 1.3991 29580.4512 29130.1548 30195.2186 
4.6018 1.3971 29604.6107 29153.1969 30220.1657 
4.6072 1.3952 29628.7213 29176.1362 30245.0316 
4.6126 1.3932 29652.4463 29199.1453 30269.7990 
4.6180 1.3912 29678.0375 29223.9343 30296.9678 
4.6234 1.3893 29701.8095 29246.8306 30321.7198 
4.6287 1.3873 29725.5743 29269.8969 30346.7363 
4.6341 1.3854 29749.5271 29292.9625 30371.7461 
4.6395 1.3834 29773.6760 29315.8989 30396.6680 
4.6449 1.3815 29797.6923 29338.9677 30421.4597 
4.6503 1.3795 29821.5561 29362.0067 30446.2476 
4.6556 1.3776 29846.9643 29386.5178 30473.5719 
4.6610 1.3756 29870.7667 29409.4697 30498.2681 
4.6664 1.3737 29894.5622 29432.5356 30523.1277 
4.6718 1.3718 29918.5928 29455.4496 30547.9513 
4.6772 1.3699 29942.5197 29478.5213 30572.8975 
4.6825 1.3679 29966.5190 29501.4904 30597.7157 
4.6879 1.3660 29990.4608 29524.3544 30622.3574 
4.6933 1.3641 30015.8240 29548.9184 30649.6425 
4.6987 1.3622 30039.6476 29571.6714 30674.3054 
4.7041 1.3603 30063.4844 29594.6861 30699.2735 
4.7094 1.3584 30087.2135 29617.5922 30724.1325 
4.7148 1.3565 30111.1616 29640.6133 30748.8602 
4.7202 1.3546 30135.0344 29663.6806 30773.6866 
4.7256 1.3527 30158.9397 29686.5308 30798.3206 
4.7310 1.3508 30184.4175 29711.1742 30825.8343 
4.7363 1.3489 30208.1717 29733.8534 30850.2715 
4.7417 1.3470 30232.0208 29756.7724 30875.0306 
4.7471 1.3451 30255.9323 29779.8447 30899.7607 
4.7525 1.3433 30279.7445 29802.7777 30924.6067 
4.7579 1.3414 30303.5305 29825.7478 30949.3516 
4.7632 1.3395 30327.4611 29848.6002 30974.0425 
4.7686 1.3376 30352.6975 29873.3821 31001.5144 
4.7740 1.3358 30376.3648 29895.9278 31025.6537 
4.7794 1.3339 30400.2519 29918.7644 31050.3473 
4.7848 1.3321 30424.1420 29941.7153 31075.0745 
4.7902 1.3302 30447.8257 29964.7440 31099.8540 
4.7955 1.3284 30471.5666 29987.6578 31124.6554 
4.8009 1.3265 30495.3363 30010.4803 31149.3398 
4.8063 1.3247 30519.1363 30033.1429 31173.7208 
4.8117 1.3228 30544.3775 30057.5129 31201.0318 
4.8171 1.3210 30568.0002 30080.4028 31225.4763 
4.8224 1.3192 30591.8458 30103.3436 31250.0997 
4.8278 1.3173 30615.6273 30126.2356 31274.8506 
4.8332 1.3155 30639.5722 30149.1098 31299.5650 
4.8386 1.3137 30663.3813 30172.0399 31324.2291 
4.8440 1.3119 30686.9689 30194.9007 31348.8741 
4.8493 1.3100 30712.1825 30218.7993 31376.1383 
4.8547 1.3082 30735.8520 30241.6483 31400.4044 
4.8601 1.3064 30759.6153 30264.4832 31424.9135 
4.8655 1.3046 30783.3135 30287.4265 31449.4373 
4.8709 1.3028 30807.1518 30310.2924 31474.1501 
4.8762 1.3010 30831.1244 30333.0847 31498.6709 
4.8816 1.2992 30854.7283 30355.9720 31523.2162 
4.8870 1.2974 30878.1737 30378.7820 31547.6196 
4.8924 1.2956 30903.5735 30402.6710 31575.1691 
4.8978 1.2938 30927.3564 30425.3511 31599.4910 
4.9031 1.2920 30950.9955 30448.2308 31624.0788 
4.9085 1.2903 30974.6120 30471.1096 31648.7063 
4.9139 1.2885 30998.2392 30494.1289 31673.2507 
4.9193 1.2867 31021.8142 30517.1714 31697.6669 
4.9247 1.2849 31045.7065 30539.7842 31722.1724 
4.9300 1.2832 31070.6966 30563.7295 31749.6268 
4.9354 1.2814 31094.2712 30586.4483 31773.8022 
4.9408 1.2796 31117.9982 30609.1946 31798.3810 
4.9462 1.2779 31141.5783 30632.0829 31823.1217 
4.9516 1.2761 31165.3388 30654.8906 31847.6135 
4.9569 1.2743 31189.0846 30677.7236 31872.0520 
4.9623 1.2726 31212.6967 30700.5361 31896.6173 
4.9677 1.2708 31236.0498 30723.0259 31920.8429 
4.9731 1.2691 31261.3725 30747.0955 31948.0966 
4.9785 1.2674 31285.0636 30769.8680 31972.5220 
4.9839 1.2656 31308.7370 30792.6039 31997.1093 
4.9892 1.2639 31332.3428 30815.5162 32021.6613 
4.9946 1.2621 31355.9471 30838.3165 32046.3025 
5.0000 1.2604 31379.6181 30860.9534 32070.8949 
5.0054 1.2587 31403.0590 30883.6532 32095.2902 
5.0108 1.2570 31428.1125 30907.7351 32122.1957 
5.0161 1.2552 31451.6974 30930.3510 32146.5341 
5.0215 1.2535 31475.2839 30953.1742 32170.9779 
5.0269 1.2518 31498.9075 30975.7787 32195.6008 
5.0323 1.2501 31522.6971 30998.5504 32220.0585 
5.0377 1.2484 31546.2745 31021.3507 32244.7417 
5.0430 1.2467 31569.8041 31044.1840 32269.2233 
5.0484 1.2450 31595.0725 31067.8882 32295.9797 
5.0538 1.2433 31618.5716 31090.5311 32320.2994 
5.0592 1.2416 31642.0741 31113.2475 32344.8858 
5.0646 1.2399 31665.5862 31136.0180 32369.4281 
5.0699 1.2382 31689.1101 31158.8471 32393.8313 
5.0753 1.2365 31712.6671 31181.5437 32418.4247 
5.0807 1.2348 31736.1762 31204.1753 32442.9709 
5.0861 1.2331 31759.4603 31226.8617 32467.1271 
5.0915 1.2314 31785.0502 31250.7134 32494.0798 
5.0968 1.2297 31808.3507 31273.3129 32518.4774 
5.1022 1.2281 31831.7744 31296.0680 32542.8450 
5.1076 1.2264 31855.2865 31318.8300 32567.2443 
5.1130 1.2247 31878.6522 31341.5988 32591.7484 
5.1184 1.2231 31902.2134 31364.3633 32616.2915 
5.1237 1.2214 31925.7559 31386.8099 32640.5692 
5.1291 1.2197 31951.2192 31410.5451 32667.6247 
5.1345 1.2181 31974.2846 31433.0744 32691.7804 
5.1399 1.2164 31997.5766 31455.8385 32716.2219 
5.1453 1.2148 32021.0372 31478.5584 32740.7454 
5.1506 1.2131 32044.4709 31501.2687 32765.0860 
5.1560 1.2115 32068.0457 31523.8153 32789.6313 
5.1614 1.2098 32091.4950 31546.4791 32814.2194 
5.1668 1.2082 32114.7982 31568.8343 32838.4506 
5.1722 1.2065 32139.9772 31592.6004 32865.2763 
5.1776 1.2049 32163.3277 31615.1897 32889.5374 
5.1829 1.2032 32186.6025 31637.7708 32914.0354 
5.1883 1.2016 32210.0385 31660.4940 32938.6155 
5.1937 1.2000 32233.4184 31683.1938 32963.1880 
5.1991 1.1984 32256.8264 31705.7142 32987.6731 
5.2045 1.1967 32280.1946 31728.2611 33012.1665 
5.2098 1.1951 32305.4805 31752.0214 33038.8275 
5.2152 1.1935 32328.6751 31774.3145 33062.8826 
5.2206 1.1919 32351.9735 31796.8353 33087.2590 
5.2260 1.1903 32375.3801 31819.4131 33111.8306 
5.2314 1.1886 32398.8711 31841.9136 33136.4350 
5.2367 1.1870 32422.2819 31864.4515 33160.9251 
5.2421 1.1854 32445.6984 31886.9561 33185.4134 
5.2475 1.1838 32468.7652 31909.3274 33209.7926 
5.2529 1.1822 32493.8298 31933.2385 33236.3205 
5.2583 1.1806 32517.1920 31955.5612 33260.6255 
5.2636 1.1790 32540.5763 31978.0734 33284.9937 
5.2690 1.1774 32563.9413 32000.5968 33309.4359 
5.2744 1.1758 32587.4970 32023.0927 33333.7837 
5.2798 1.1743 32610.9943 32045.4691 33358.1812 
5.2852 1.1727 32634.3187 32067.8663 33382.6657 
5.2905 1.1711 32657.4233 32090.1421 33406.8272 
5.2959 1.1695 32682.4152 32114.0484 33433.7565 
5.3013 1.1679 32705.8007 32136.4382 33457.9996 
5.3067 1.1664 32729.2855 32158.8347 33482.2792 
5.3121 1.1648 32752.7971 32181.2973 33506.7056 
5.3174 1.1632 32776.2548 32203.8281 33530.9937 
5.3228 1.1616 32799.6215 32226.2284 33555.2462 
5.3282 1.1601 32822.9974 32248.4175 33579.5655 
5.3336 1.1585 32847.8348 32272.3855 33607.0339 
5.3390 1.1570 32870.9349 32294.7024 33630.5638 
5.3444 1.1554 32894.2613 32317.1526 33654.9679 
5.3497 1.1538 32917.7686 32339.5585 33679.3015 
5.3551 1.1523 32941.1566 32361.9832 33703.5517 
5.3605 1.1507 32964.5982 32384.2894 33727.8917 
5.3659 1.1492 32988.0275 32406.5914 33752.2124 
5.3713 1.1476 33011.4695 32428.8525 33776.3133 
5.3766 1.1461 33036.2187 32452.7709 33803.2224 
5.3820 1.1446 33059.3199 32475.1322 33827.3042 
5.3874 1.1430 33082.6995 32497.4875 33851.5249 
5.3928 1.1415 33106.2099 32519.8560 33875.8750 
5.3982 1.1399 33129.5004 32542.2640 33900.1302 
5.4035 1.1384 33153.1101 32564.6459 33924.4968 
5.4089 1.1369 33176.4008 32586.9978 33948.7910 
5.4143 1.1354 33199.6318 32609.1484 33972.9212 
5.4197 1.1338 33224.4210 32633.1482 33999.5025 
5.4251 1.1323 33247.8648 32655.3838 34023.6905 
5.4304 1.1308 33271.1305 32677.6268 34047.9729 
5.4358 1.1293 33294.5695 32700.0814 34072.3367 
5.4412 1.1278 33317.8733 32722.4836 34096.6700 
5.4466 1.1263 33341.3406 32744.8035 34120.8668 
5.4520 1.1247 33364.4933 32767.0043 34145.1944 
5.4573 1.1232 33387.6240 32788.9157 34169.2246 
5.4627 1.1217 33412.5997 32812.9959 34195.6593 
5.4681 1.1202 33435.8876 32835.1941 34219.9881 
5.4735 1.1187 33459.1299 32857.5716 34244.2708 
5.4789 1.1172 33482.4655 32879.7901 34268.6806 
5.4842 1.1157 33505.7461 32902.2352 34292.9532 
5.4896 1.1142 33529.1289 32924.5717 34317.3442 
5.4950 1.1127 33552.4203 32946.6907 34341.4074 
5.5004 1.1113 33577.3644 32970.4504 34368.2976 
5.5058 1.1098 33600.5947 32992.6347 34392.0579 
5.5111 1.1083 33624.0637 33014.8195 34416.1950 
5.5165 1.1068 33647.2485 33037.0170 34440.5321 
5.5219 1.1053 33670.5015 33059.3542 34464.7975 
5.5273 1.1038 33693.7409 33081.6890 34488.9279 
5.5327 1.1024 33716.9926 33103.9675 34513.1407 
5.5381 1.1009 33740.0347 33126.1710 34537.3744 
5.5434 1.0994 33765.1583 33149.7505 34564.3568 
5.5488 1.0980 33788.3437 33171.8633 34588.1841 
5.5542 1.0965 33811.5829 33194.2031 34612.3482 
5.5596 1.0950 33834.8517 33216.4654 34636.6536 
5.5650 1.0936 33858.1133 33238.7432 34660.8108 
5.5703 1.0921 33881.4412 33260.8333 34684.9354 
5.5757 1.0907 33904.6204 33283.1785 34708.9665 
5.5811 1.0892 33927.9366 33305.2675 34733.1502 
5.5865 1.0877 33952.7822 33328.7971 34760.0777 
5.5919 1.0863 33975.8813 33350.8921 34783.9311 
5.5972 1.0848 33999.2422 33373.1820 34807.8986 
5.6026 1.0834 34022.4682 33395.5596 34832.0957 
5.6080 1.0820 34045.7892 33417.9096 34856.1884 
5.6134 1.0805 34069.1969 33439.9945 34880.2956 
5.6188 1.0791 34092.4345 33462.1599 34904.4455 
5.6241 1.0776 34115.3342 33484.2918 34928.7407 
5.6295 1.0762 34140.2763 33507.7798 34955.4465 
5.6349 1.0748 34163.4381 33529.9812 34979.3394 
5.6403 1.0733 34186.7665 33552.2855 35003.1921 
5.6457 1.0719 34209.9169 33574.6265 35027.3244 
5.6510 1.0705 34233.1054 33596.9094 35051.5507 
5.6564 1.0691 34256.4971 33619.1133 35075.5982 
5.6618 1.0676 34279.6186 33641.1836 35099.8195 
5.6672 1.0662 34302.5353 33662.8383 35124.0119 
5.6726 1.0648 34327.5421 33686.6802 35150.6827 
5.6779 1.0634 34350.7728 33708.8161 35174.7245 
5.6833 1.0620 34373.7783 33731.1787 35198.8545 
5.6887 1.0605 34396.9570 33753.4429 35222.8493 
5.6941 1.0591 34420.3169 33775.6454 35247.0442 
5.6995 1.0577 34443.6383 33797.7063 35271.1476 
5.7048 1.0563 34466.6567 33819.7340 35295.4539 
5.7102 1.0549 34489.7197 33841.5720 35319.5931 
5.7156 1.0535 34514.4484 33865.2394 35346.1141 
5.7210 1.0521 34537.5679 33887.3377 35370.0674 
5.7264 1.0507 34560.5884 33909.6513 35394.0598 
5.7318 1.0493 34583.8125 33931.8671 35418.2479 
5.7371 1.0479 34607.1175 33954.0300 35442.4185 
5.7425 1.0465 34630.3348 33976.1877 35466.4529 
5.7479 1.0451 34653.4540 33998.1187 35490.6733 
5.7533 1.0438 34676.1540 34019.9392 35514.6605 
5.7587 1.0424 34701.2367 34043.5620 35541.2978 
5.7640 1.0410 34724.4253 34065.7059 35565.2903 
5.7694 1.0396 34747.5001 34087.8748 35589.3923 
5.7748 1.0382 34770.6003 34110.0750 35613.5097 
5.7802 1.0369 34793.9644 34132.2031 35637.4209 
5.7856 1.0355 34817.1543 34154.3167 35661.5467 
5.7909 1.0341 34840.2925 34176.2024 35685.7630 
5.7963 1.0327 34863.2004 34197.9776 35709.6876 
