#time redshift x  y z
4.4781 1.4436 29047.2953 28616.0780 29637.7842 
4.4835 1.4415 29071.6378 28639.4672 29662.9262 
4.4888 1.4394 29095.8501 28662.8694 29688.1768 
4.4942 1.4374 29120.1212 28686.1922 29713.3498 
4.4996 1.4353 29144.3928 28709.5053 29738.6380 
4.5050 1.4333 29168.4886 28732.7663 29763.9683 
4.5104 1.4312 29192.7736 28756.0432 29789.0869 
4.5157 1.4292 29217.0877 28779.2520 29813.9633 
4.5211 1.4272 29242.7111 28804.6828 29842.3972 
4.5265 1.4252 29266.8562 28827.8779 29867.5859 
4.5319 1.4231 29291.0718 28851.1180 29892.7703 
4.5373 1.4211 29315.2519 28874.3916 29917.8991 
4.5426 1.4191 29339.5228 28897.6710 29943.0151 
4.5480 1.4171 29363.8388 28920.8962 29968.2217 
4.5534 1.4151 29388.0243 28944.1437 29993.4644 
4.5588 1.4131 29412.2142 28967.3850 30018.7089 
4.5642 1.4111 29436.4227 28990.6064 30043.9907 
4.5695 1.4091 29460.5785 29013.7892 30069.2727 
4.5749 1.4071 29484.8116 29037.0168 30094.4958 
4.5803 1.4051 29509.0315 29060.2319 30119.6857 
4.5857 1.4031 29533.1679 29083.4640 30144.8952 
4.5911 1.4011 29557.3468 29106.6998 30170.0784 
4.5964 1.3991 29581.5649 29129.9001 30195.3026 
4.6018 1.3971 29605.7451 29153.1678 30220.4491 
4.6072 1.3952 29629.8783 29176.3985 30245.6187 
4.6126 1.3932 29654.0474 29199.6194 30270.8188 
4.6180 1.3912 29678.2194 29222.8300 30295.9945 
4.6234 1.3893 29702.3526 29246.0791 30321.2619 
4.6287 1.3873 29726.5321 29269.3248 30346.4025 
4.6341 1.3854 29750.6488 29292.5429 30371.6306 
4.6395 1.3834 29774.8521 29315.7509 30396.7210 
4.6449 1.3815 29799.0569 29338.9291 30421.8530 
4.6503 1.3795 29823.2364 29362.1323 30446.9923 
4.6556 1.3776 29847.4013 29385.4176 30472.1091 
4.6610 1.3756 29871.4789 29408.6161 30497.2870 
4.6664 1.3737 29895.6209 29431.7686 30522.4351 
4.6718 1.3718 29919.7049 29454.9575 30547.6449 
4.6772 1.3699 29943.8190 29478.1915 30572.7707 
4.6825 1.3679 29967.9793 29501.4021 30597.9021 
4.6879 1.3660 29992.0784 29524.6383 30622.9919 
4.6933 1.3641 30016.1647 29547.8194 30648.1951 
4.6987 1.3622 30040.3227 29570.9850 30673.2857 
4.7041 1.3603 30064.4544 29594.1353 30698.3625 
4.7094 1.3584 30088.4586 29617.3078 30723.4751 
4.7148 1.3565 30112.4656 29640.5830 30748.6063 
4.7202 1.3546 30136.5591 29663.7487 30773.8049 
4.7256 1.3527 30160.6479 29686.9392 30798.9193 
4.7310 1.3508 30184.7157 29710.1411 30824.0589 
4.7363 1.3489 30208.7764 29733.3849 30849.1488 
4.7417 1.3470 30232.9041 29756.6073 30874.1351 
4.7471 1.3451 30256.9277 29779.8025 30899.2472 
4.7525 1.3433 30280.9830 29803.0252 30924.3852 
4.7579 1.3414 30305.0493 29826.1350 30949.4894 
4.7632 1.3395 30328.9731 29849.1839 30974.5030 
4.7686 1.3376 30352.9241 29872.2268 30999.5555 
4.7740 1.3358 30376.9050 29895.2320 31024.6218 
4.7794 1.3339 30400.8802 29918.2755 31049.5912 
4.7848 1.3321 30424.8655 29941.2910 31074.5683 
4.7902 1.3302 30448.8031 29964.3384 31099.4816 
4.7955 1.3284 30472.7598 29987.4280 31124.4335 
4.8009 1.3265 30496.6563 30010.4893 31149.4259 
4.8063 1.3247 30520.6819 30033.5875 31174.4475 
4.8117 1.3228 30544.6361 30056.6852 31199.3867 
4.8171 1.3210 30568.5492 30079.7143 31224.3665 
4.8224 1.3192 30592.4668 30102.7398 31249.3420 
4.8278 1.3173 30616.3540 30125.7691 31274.1953 
4.8332 1.3155 30640.2195 30148.7917 31299.1685 
4.8386 1.3137 30664.1233 30171.7538 31324.1425 
4.8440 1.3119 30688.0093 30194.8363 31348.9985 
4.8493 1.3100 30711.9256 30217.8343 31373.9046 
4.8547 1.3082 30735.8136 30240.8000 31398.7836 
4.8601 1.3064 30759.6176 30263.7231 31423.7432 
4.8655 1.3046 30783.5079 30286.6898 31448.5427 
4.8709 1.3028 30807.4433 30309.7106 31473.2464 
4.8762 1.3010 30831.2484 30332.6730 31498.0947 
4.8816 1.2992 30855.1302 30355.5555 31523.0021 
4.8870 1.2974 30879.0067 30378.4842 31547.8215 
4.8924 1.2956 30902.8352 30401.4082 31572.6857 
4.8978 1.2938 30926.5531 30424.2119 31597.5811 
4.9031 1.2920 30950.3217 30447.1817 31622.2951 
4.9085 1.2903 30974.0053 30469.9470 31646.9478 
4.9139 1.2885 31000.2587 30495.1754 31673.6804 
4.9193 1.2867 31023.9813 30518.0349 31698.3195 
4.9247 1.2849 31047.7985 30540.9394 31723.1043 
4.9300 1.2832 31071.5931 30563.8415 31747.9383 
4.9354 1.2814 31095.4606 30586.6611 31772.6423 
4.9408 1.2796 31119.1504 30609.5643 31797.5760 
4.9462 1.2779 31142.9285 30632.4787 31822.4766 
4.9516 1.2761 31166.7607 30655.3350 31847.4384 
4.9569 1.2743 31190.5742 30678.1265 31872.3066 
4.9623 1.2726 31214.3253 30701.0730 31897.0161 
4.9677 1.2708 31238.0288 30723.9528 31921.8543 
4.9731 1.2691 31261.7281 30746.8310 31946.7341 
