#time redshift x  y z
4.4781 1.4436 29046.9432 28616.4249 29637.4603 
4.4835 1.4415 29071.0845 28639.9846 29662.5869 
4.4888 1.4394 29095.2221 28663.3777 29687.8432 
4.4942 1.4374 29119.3339 28686.9059 29712.6877 
4.4996 1.4353 29144.9702 28711.2196 29740.9466 
4.5050 1.4333 29169.1986 28734.4666 29766.0474 
4.5104 1.4312 29193.4065 28757.6383 29791.3227 
4.5157 1.4292 29217.6822 28781.1381 29816.4127 
4.5211 1.4272 29241.8482 28804.4528 29841.6868 
4.5265 1.4252 29266.0664 28827.7448 29867.0113 
4.5319 1.4231 29290.2856 28851.0551 29892.2975 
4.5373 1.4211 29314.5337 28874.4058 29917.4913 
4.5426 1.4191 29338.8016 28897.5874 29942.7361 
4.5480 1.4171 29363.0676 28920.9274 29967.9727 
4.5534 1.4151 29387.2777 28944.1521 29993.2118 
4.5588 1.4131 29411.4829 28967.4412 30018.4059 
4.5642 1.4111 29435.6917 28990.8135 30043.6164 
4.5695 1.4091 29459.8747 29014.1792 30068.7564 
4.5749 1.4071 29484.1091 29037.4286 30093.9809 
4.5803 1.4051 29508.3467 29060.7306 30119.1783 
4.5857 1.4031 29532.5161 29083.9693 30144.3097 
4.5911 1.4011 29556.7292 29107.2287 30169.5166 
4.5964 1.3991 29580.9409 29130.3999 30194.7178 
4.6018 1.3971 29605.1351 29153.6326 30219.9213 
4.6072 1.3952 29629.2804 29176.8826 30245.0969 
4.6126 1.3932 29653.4602 29200.1047 30270.2323 
4.6180 1.3912 29677.6200 29223.3454 30295.3863 
4.6234 1.3893 29701.7760 29246.5760 30320.5675 
4.6287 1.3873 29725.9155 29269.7486 30345.7138 
4.6341 1.3854 29750.0548 29292.9547 30370.8815 
4.6395 1.3834 29774.2160 29316.2157 30396.0424 
4.6449 1.3815 29798.3732 29339.4497 30421.2713 
4.6503 1.3795 29822.5568 29362.6963 30446.5297 
4.6556 1.3776 29846.6726 29385.8788 30471.7742 
4.6610 1.3756 29870.7735 29409.1007 30496.9258 
4.6664 1.3737 29894.9195 29432.3370 30522.0699 
4.6718 1.3718 29918.9877 29455.6208 30547.2728 
4.6772 1.3699 29943.1097 29478.7730 30572.4005 
4.6825 1.3679 29967.2173 29501.9351 30597.5179 
4.6879 1.3660 29991.3176 29525.1016 30622.6496 
4.6933 1.3641 30015.4489 29548.2659 30647.7941 
4.6987 1.3622 30039.5494 29571.4512 30672.9189 
4.7041 1.3603 30063.6526 29594.6338 30698.0577 
4.7094 1.3584 30087.7901 29617.8618 30723.1925 
4.7148 1.3565 30111.8219 29641.0365 30748.3752 
4.7202 1.3546 30135.8767 29664.1810 30773.4879 
4.7256 1.3527 30160.0273 29687.1977 30798.6838 
4.7310 1.3508 30184.0786 29710.4345 30823.8100 
4.7363 1.3489 30208.1118 29733.6826 30848.9807 
4.7417 1.3470 30232.1071 29756.8469 30874.1036 
4.7471 1.3451 30256.1822 29780.0305 30899.2449 
4.7525 1.3433 30280.2388 29803.2580 30924.3096 
4.7579 1.3414 30304.2601 29826.4668 30949.3838 
4.7632 1.3395 30328.2260 29849.6582 30974.4673 
4.7686 1.3376 30352.2026 29872.7799 30999.5273 
4.7740 1.3358 30376.2441 29895.8852 31024.5738 
4.7794 1.3339 30400.2589 29919.0459 31049.6430 
4.7848 1.3321 30424.2422 29942.2023 31074.7005 
4.7902 1.3302 30448.2667 29965.3855 31099.7890 
4.7955 1.3284 30472.2748 29988.5122 31124.8406 
4.8009 1.3265 30496.2308 30011.6306 31149.8481 
4.8063 1.3247 30520.2170 30034.7645 31174.9451 
4.8117 1.3228 30544.1837 30057.7802 31200.0380 
4.8171 1.3210 30568.1829 30080.9042 31225.0605 
4.8224 1.3192 30592.1741 30103.9867 31250.1051 
4.8278 1.3173 30616.0320 30127.1997 31275.1618 
4.8332 1.3155 30639.9222 30150.4544 31300.2951 
4.8386 1.3137 30664.2009 30173.3610 31325.4964 
4.8440 1.3119 30688.0846 30196.2605 31350.2532 
4.8493 1.3100 30711.6413 30219.5190 31375.0002 
4.8547 1.3082 30735.5305 30242.4450 31399.8486 
4.8601 1.3064 30759.5234 30265.4006 31424.5936 
4.8655 1.3046 30783.4728 30288.3759 31449.4021 
4.8709 1.3028 30807.4495 30311.3413 31474.1700 
4.8762 1.3010 30831.3976 30334.2632 31498.9955 
4.8816 1.2992 30855.3020 30357.2175 31523.8646 
4.8870 1.2974 30879.2412 30380.0749 31548.7590 
4.8924 1.2956 30903.1395 30403.0863 31573.6554 
4.8978 1.2938 30927.0181 30426.0742 31598.5132 
4.9031 1.2920 30950.8839 30448.9907 31623.3937 
4.9085 1.2903 30974.7694 30471.9329 31648.2739 
4.9139 1.2885 30998.6939 30494.8560 31673.1625 
4.9193 1.2867 31022.5341 30517.8438 31698.0791 
4.9247 1.2849 31046.3481 30540.7935 31723.0405 
4.9300 1.2832 31070.1746 30563.7119 31747.8968 
4.9354 1.2814 31094.0200 30586.6900 31772.6954 
4.9408 1.2796 31117.9122 30609.6403 31797.4874 
4.9462 1.2779 31141.7745 30632.6088 31822.3735 
4.9516 1.2761 31165.5890 30655.5785 31847.1674 
4.9569 1.2743 31189.4632 30678.5451 31872.0116 
4.9623 1.2726 31213.3039 30701.4982 31896.7606 
4.9677 1.2708 31237.1105 30724.3636 31921.5971 
4.9731 1.2691 31260.9411 30747.1991 31946.4731 
4.9785 1.2674 31284.7130 30770.0846 31971.3554 
4.9839 1.2656 31308.5235 30792.9840 31996.2280 
4.9892 1.2639 31332.3261 30815.8641 32021.0284 
4.9946 1.2621 31356.0685 30838.8016 32045.9306 
5.0000 1.2604 31379.8712 30861.6904 32070.7569 
5.0054 1.2587 31403.6746 30884.5750 32095.6057 
5.0108 1.2570 31427.4953 30907.5029 32120.4583 
5.0161 1.2552 31451.2852 30930.3353 32145.2524 
5.0215 1.2535 31475.0505 30953.2468 32170.0915 
5.0269 1.2518 31498.7799 30976.1913 32194.9207 
5.0323 1.2501 31522.5110 30999.0877 32219.7668 
5.0377 1.2484 31546.2540 31021.9750 32244.5959 
5.0430 1.2467 31570.0400 31044.7849 32269.4218 
5.0484 1.2450 31593.7863 31067.7093 32294.3037 
5.0538 1.2433 31617.5298 31090.5429 32319.1371 
5.0592 1.2416 31641.2444 31113.3967 32343.9462 
5.0646 1.2399 31664.9781 31136.2431 32368.7228 
5.0699 1.2382 31688.7033 31159.1548 32393.4627 
5.0753 1.2365 31712.4565 31182.0042 32418.2713 
5.0807 1.2348 31736.2730 31204.8417 32443.1038 
5.0861 1.2331 31760.0509 31227.6984 32467.9711 
5.0915 1.2314 31783.8306 31250.5595 32492.8243 
5.0968 1.2297 31807.5544 31273.4398 32517.6357 
5.1022 1.2281 31831.1948 31296.2225 32542.4926 
5.1076 1.2264 31854.8914 31319.0078 32567.2532 
5.1130 1.2247 31878.5233 31341.7532 32592.0522 
5.1184 1.2231 31902.1757 31364.5805 32616.8164 
5.1237 1.2214 31925.8580 31387.3966 32641.5256 
5.1291 1.2197 31949.5705 31410.2302 32666.2980 
5.1345 1.2181 31973.2508 31433.0382 32691.1344 
5.1399 1.2164 31996.9571 31455.8343 32715.8508 
5.1453 1.2148 32020.6780 31478.6036 32740.6896 
5.1506 1.2131 32044.3932 31501.3930 32765.4074 
5.1560 1.2115 32068.0805 31524.1555 32790.0876 
5.1614 1.2098 32091.7695 31546.9342 32814.8380 
5.1668 1.2082 32115.4390 31569.7443 32839.6315 
5.1722 1.2065 32139.1564 31592.5275 32864.3779 
5.1776 1.2049 32162.8008 31615.3045 32889.2197 
5.1829 1.2032 32186.3932 31638.1267 32914.0109 
5.1883 1.2016 32210.0480 31660.9645 32938.8460 
5.1937 1.2000 32233.6590 31683.6971 32963.6561 
5.1991 1.1984 32257.2978 31706.5092 32988.4842 
5.2045 1.1967 32280.8628 31729.2521 33013.2380 
5.2098 1.1951 32304.4978 31752.0037 33038.0449 
5.2152 1.1935 32328.0467 31774.6668 33062.8694 
5.2206 1.1919 32351.8522 31797.1596 33087.6739 
5.2260 1.1903 32375.4943 31819.9401 33112.4374 
5.2314 1.1886 32399.1515 31842.7259 33137.1896 
5.2367 1.1870 32422.8472 31865.4910 33162.0054 
5.2421 1.1854 32446.5514 31888.3438 33186.8818 
5.2475 1.1838 32468.4162 31909.2405 33209.9994 
5.2529 1.1822 32492.2367 31932.0469 33234.8272 
5.2583 1.1806 32516.0285 31954.5925 33259.7286 
5.2636 1.1790 32539.6881 31977.4180 33284.4784 
5.2690 1.1774 32563.0742 32000.4101 33309.0878 
5.2744 1.1758 32586.7278 32022.9912 33333.8746 
5.2798 1.1743 32610.4103 32045.5997 33358.5723 
5.2852 1.1727 32634.0700 32068.2116 33383.3636 
5.2905 1.1711 32657.7371 32090.8724 33408.0454 
5.2959 1.1695 32681.3492 32113.5269 33432.7407 
5.3013 1.1679 32704.9797 32136.1794 33457.3728 
5.3067 1.1664 32728.5792 32158.8125 33482.0761 
5.3121 1.1648 32752.1672 32181.5947 33506.6680 
5.3174 1.1632 32775.8290 32204.2470 33531.4067 
5.3228 1.1616 32799.4693 32226.9388 33556.0920 
5.3282 1.1601 32823.1149 32249.6331 33580.7660 
5.3336 1.1585 32846.7301 32272.2957 33605.4756 
5.3390 1.1570 32870.3941 32294.9695 33630.1324 
5.3444 1.1554 32893.9730 32317.6564 33654.7964 
5.3497 1.1538 32917.8015 32340.0367 33679.6029 
5.3551 1.1523 32941.3556 32362.7211 33704.2296 
5.3605 1.1507 32964.8973 32385.3168 33728.7744 
5.3659 1.1492 32988.4628 32407.8993 33753.3673 
5.3713 1.1476 33011.9370 32430.5376 33777.9583 
5.3766 1.1461 33035.4650 32453.1527 33802.5304 
5.3820 1.1446 33059.0029 32475.7572 33827.1077 
5.3874 1.1430 33082.5621 32498.2322 33851.6739 
5.3928 1.1415 33106.1723 32520.7686 33876.3208 
5.3982 1.1399 33129.7150 32543.1949 33901.0206 
5.4035 1.1384 33153.3270 32565.6661 33925.5950 
5.4089 1.1369 33176.8432 32588.1937 33950.1249 
5.4143 1.1354 33200.3494 32610.6775 33974.7126 
5.4197 1.1338 33223.8783 32633.1840 33999.3062 
