#time redshift x  y z
4.9946 1.2621 31368.4441 30816.1874 32054.9974 
5.0000 1.2604 31392.0186 30839.0291 32079.8117 
5.0054 1.2587 31415.8101 30861.3629 32104.7562 
5.0108 1.2570 31439.3598 30884.1031 32129.5358 
5.0161 1.2552 31462.9519 30906.8918 32154.3249 
5.0215 1.2535 31486.4420 30929.8303 32179.0468 
5.0269 1.2518 31509.9559 30952.6539 32203.7757 
5.0323 1.2501 31533.3881 30975.5646 32228.4719 
5.0377 1.2484 31556.9465 30998.2607 32253.2519 
5.0430 1.2467 31580.4127 31021.2000 32277.9445 
5.0484 1.2450 31603.8288 31044.0877 32302.6267 
5.0538 1.2433 31627.2720 31066.9716 32327.2956 
5.0592 1.2416 31650.6512 31089.8881 32351.9547 
5.0646 1.2399 31674.0654 31112.7698 32376.6323 
5.0699 1.2382 31697.4600 31135.7207 32401.2624 
5.0753 1.2365 31720.7614 31158.8216 32425.8417 
5.0807 1.2348 31744.0499 31181.8697 32450.4257 
5.0861 1.2331 31767.4569 31204.8059 32475.0612 
5.0915 1.2314 31790.7507 31227.9216 32499.6310 
5.0968 1.2297 31814.1107 31250.6920 32524.2889 
5.1022 1.2281 31837.4342 31273.7683 32548.8708 
5.1076 1.2264 31860.6795 31296.9805 32573.4082 
5.1130 1.2247 31883.8983 31320.1921 32597.9297 
5.1184 1.2231 31907.2215 31343.0240 32622.5865 
5.1237 1.2214 31930.4585 31366.1387 32647.1348 
5.1291 1.2197 31953.7155 31389.3915 32671.6400 
5.1345 1.2181 31976.9031 31412.7733 32696.1103 
5.1399 1.2164 32000.1003 31436.1795 32720.5624 
5.1453 1.2148 32023.3151 31459.4672 32745.0429 
5.1506 1.2131 32046.5486 31482.9163 32769.5314 
5.1560 1.2115 32069.7438 31506.3216 32794.0199 
5.1614 1.2098 32093.0234 31529.7802 32818.4880 
5.1668 1.2082 32116.2164 31553.1112 32842.9950 
5.1722 1.2065 32139.6089 31576.4705 32867.4973 
5.1776 1.2049 32162.9436 31599.8992 32891.9986 
5.1829 1.2032 32186.1737 31623.4745 32916.4645 
5.1883 1.2016 32209.3830 31647.2186 32940.9032 
5.1937 1.2000 32232.4575 31671.1278 32965.2468 
5.1991 1.1984 32255.6309 31695.0140 32989.5350 
5.2045 1.1967 32278.7787 31718.8848 33013.9103 
5.2098 1.1951 32302.2041 31742.5813 33038.3773 
5.2152 1.1935 32325.6072 31766.4741 33062.8634 
5.2206 1.1919 32349.2260 31790.3798 33087.3247 
5.2260 1.1903 32372.9491 31814.4487 33111.8351 
5.2314 1.1886 32396.7029 31838.6143 33136.3126 
5.2367 1.1870 32420.5920 31862.8216 33160.8450 
5.2421 1.1854 32444.8716 31886.4941 33185.5704 
5.2475 1.1838 32468.9154 31910.3659 33210.1984 
5.2529 1.1822 32493.1042 31934.0162 33234.8844 
5.2583 1.1806 32517.6858 31956.2244 33259.9386 
5.2636 1.1790 32543.9386 31983.4288 33284.9711 
5.2690 1.1774 32567.9747 32007.2676 33309.4841 
5.2744 1.1758 32591.9852 32031.0332 33334.1260 
5.2798 1.1743 32616.2524 32054.3863 33358.8915 
5.2852 1.1727 32640.4654 32077.8022 33383.5878 
5.2905 1.1711 32664.6059 32101.3794 33408.2494 
5.2959 1.1695 32688.8887 32124.5261 33433.0663 
5.3013 1.1679 32713.1831 32147.5941 33457.9053 
5.3067 1.1664 32737.3468 32170.6910 33482.6548 
5.3121 1.1648 32761.7343 32192.8479 33507.6774 
5.3174 1.1632 32786.0124 32214.7612 33532.6845 
5.3228 1.1616 32812.7481 32240.5646 33557.9378 
5.3282 1.1601 32836.5814 32263.8369 33582.4650 
5.3336 1.1585 32860.6875 32286.6357 33607.3006 
5.3390 1.1570 32884.6687 32309.6190 33631.9820 
5.3444 1.1554 32908.6657 32332.6185 33656.6331 
5.3497 1.1538 32932.6263 32355.7597 33681.2361 
5.3551 1.1523 32956.6638 32378.6147 33706.0111 
5.3605 1.1507 32980.6527 32401.5398 33730.7054 
5.3659 1.1492 33004.6180 32424.3868 33755.4833 
5.3713 1.1476 33028.6045 32447.2076 33780.2237 
5.3766 1.1461 33052.5530 32470.0340 33804.9021 
5.3820 1.1446 33076.5329 32492.7595 33829.5869 
5.3874 1.1430 33100.7025 32515.0789 33854.4471 
5.3928 1.1415 33124.6428 32537.9293 33879.0611 
5.3982 1.1399 33148.5403 32560.7581 33903.6938 
5.4035 1.1384 33172.4878 32583.2929 33928.3707 
5.4089 1.1369 33196.3717 32605.8647 33953.0702 
5.4143 1.1354 33220.4101 32628.5760 33977.6907 
5.4197 1.1338 33244.1649 32651.3459 34002.2968 
5.4251 1.1323 33267.9371 32674.0601 34026.9335 
5.4304 1.1308 33291.8242 32696.5486 34051.6298 
5.4358 1.1293 33315.7225 32718.9207 34076.3531 
5.4412 1.1278 33339.5903 32741.4993 34101.0316 
5.4466 1.1263 33363.4826 32764.0380 34125.7186 
5.4520 1.1247 33387.2312 32786.9800 34150.1381 
5.4573 1.1232 33411.0149 32809.6005 34174.7421 
5.4627 1.1217 33434.8196 32832.1666 34199.3533 
5.4681 1.1202 33458.6259 32854.7429 34223.9513 
5.4735 1.1187 33482.3940 32877.3673 34248.5052 
5.4789 1.1172 33506.2243 32899.9257 34272.9749 
5.4842 1.1157 33529.9130 32922.6251 34297.5288 
5.4896 1.1142 33553.6284 32945.0167 34322.1508 
5.4950 1.1127 33577.3815 32967.4503 34346.7437 
5.5004 1.1113 33601.1495 32989.7823 34371.3232 
5.5058 1.1098 33624.9304 33012.2545 34395.8131 
5.5111 1.1083 33648.6745 33034.7195 34420.3102 
5.5165 1.1068 33672.3793 33057.2004 34444.8397 
5.5219 1.1053 33696.0218 33079.7416 34469.3434 
5.5273 1.1038 33719.8355 33101.9119 34494.0161 
5.5327 1.1024 33743.5420 33124.2288 34518.6203 
5.5381 1.1009 33766.9992 33147.0318 34543.0121 
5.5434 1.0994 33790.6747 33169.3395 34567.5667 
5.5488 1.0980 33814.2588 33191.7518 34592.0168 
5.5542 1.0965 33837.9237 33214.0818 34616.5198 
5.5596 1.0950 33861.5013 33236.3378 34641.0544 
5.5650 1.0936 33885.1218 33258.5867 34665.6047 
5.5703 1.0921 33908.6287 33280.7166 34690.1032 
5.5757 1.0907 33932.1736 33302.7979 34714.4741 
5.5811 1.0892 33955.6981 33324.7582 34739.0516 
5.5865 1.0877 33979.1921 33346.7565 34763.6226 
5.5919 1.0863 34002.6061 33368.8854 34788.0904 
5.5972 1.0848 34026.0325 33391.0271 34812.5550 
5.6026 1.0834 34049.5274 33413.0737 34836.9836 
5.6080 1.0820 34072.9156 33435.1773 34861.3823 
5.6134 1.0805 34096.2030 33457.1870 34885.9328 
5.6188 1.0791 34119.5298 33479.3416 34910.3656 
5.6241 1.0776 34142.9645 33501.5250 34934.6126 
5.6295 1.0762 34166.2920 33523.6151 34959.0723 
5.6349 1.0748 34189.7149 33545.8004 34983.4178 
5.6403 1.0733 34213.2267 33568.4572 35007.8769 
5.6457 1.0719 34233.6911 33586.4850 35033.0168 
5.6510 1.0705 34257.0822 33608.6005 35057.3842 
5.6564 1.0691 34280.3358 33631.0439 35081.6027 
